
Score: 2030			 Date: 2014-04-11 16:14:40.252277
Score: 1270			 Date: 2014-04-11 16:19:05.887593
Score: 4820			 Date: 2014-04-11 16:35:10.593399
Score: 280			 Date: 2014-04-11 17:32:15.460747
Score: 340			 Date: 2014-04-12 00:27:53.596948
Score: 1390			 Date: 2014-04-12 01:44:29.779325
Score: 2790			 Date: 2014-04-12 04:17:13.089732
Score: 0			 Date: 2014-04-12 11:39:10.398777
Score: 0			 Date: 2014-04-12 11:39:53.735942
Score: 0			 Date: 2014-04-12 11:43:12.668823
Score: 0			 Date: 2014-04-12 11:43:48.667677
Score: 0			 Date: 2014-04-12 11:45:09.466927
Score: 0			 Date: 2014-04-12 11:45:35.341243
Score: 0			 Date: 2014-04-12 11:46:28.304139
Score: 0			 Date: 2014-04-12 11:53:22.431349
Score: 0			 Date: 2014-04-12 11:54:21.489321
Score: 0			 Date: 2014-04-12 11:57:11.560947
Score: 0			 Date: 2014-04-12 11:58:31.719018
Score: 0			 Date: 2014-04-12 12:00:09.421049
Score: 0			 Date: 2014-04-12 12:01:53.989484
Score: 0			 Date: 2014-04-12 12:03:33.195322
Score: 0			 Date: 2014-04-12 12:10:03.733828
Score: 0			 Date: 2014-04-12 12:14:15.189819
Score: 0			 Date: 2014-04-12 12:15:25.622368
Score: 0			 Date: 2014-04-12 12:16:15.265327
Score: 0			 Date: 2014-04-12 12:19:41.830930
Score: 0			 Date: 2014-04-12 12:20:15.106537
Score: 0			 Date: 2014-04-12 12:21:05.898130
Score: 0			 Date: 2014-04-12 12:21:43.470623
Score: 0			 Date: 2014-04-12 12:22:51.365996
Score: 0			 Date: 2014-04-12 12:23:31.332684
Score: 0			 Date: 2014-04-12 12:24:50.676396
Score: 0			 Date: 2014-04-12 12:26:25.755928
Score: 0			 Date: 2014-04-12 12:27:04.523611
Score: 0			 Date: 2014-04-12 12:28:44.688382
Score: 0			 Date: 2014-04-12 12:30:46.125013
Score: 0			 Date: 2014-04-12 12:40:55.509894
Score: 0			 Date: 2014-04-12 12:41:18.382932
Score: 0			 Date: 2014-04-12 12:49:21.803408
Score: 0			 Date: 2014-04-12 12:51:48.077216
Score: 0			 Date: 2014-04-12 13:27:56.692738
Score: 0			 Date: 2014-04-12 13:34:18.460123
Score: 0			 Date: 2014-04-12 13:34:54.967218
Score: 0			 Date: 2014-04-12 13:35:16.384542
Score: 0			 Date: 2014-04-12 13:58:40.865388
Score: 0			 Date: 2014-04-12 14:00:28.977054
Score: 0			 Date: 2014-04-12 14:01:30.689405
Score: 0			 Date: 2014-04-12 14:04:19.956285
Score: 0			 Date: 2014-04-12 14:34:55.484830
Score: 0			 Date: 2014-04-12 14:37:09.019727
Score: 0			 Date: 2014-04-12 14:38:27.346647
